"raw_id","source_id","raw_layer","raw_term","target_asset","candidate_view","concept_kind","canonical_concept_v0","mapping_confidence","mapping_note"
"R238","S12","china_online_dating_signal","住房/房产","Person Feature Space","A｜Profile / Reality Facts","profile_signal","住房/房产","high",""
"R239","S12","china_online_dating_signal","家庭背景","Person Feature Space","B｜Social Identity / Context","context_state","家庭背景","high",""
"R240","S12","china_online_dating_signal","文化资源","Person Feature Space","B｜Social Identity / Context","context_signal","文化资源","high",""
"R241","S13","academic_factor","温暖/可信","Reference Model","Reference View","academic_factor","温暖/可信","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R242","S13","academic_factor","活力/吸引力","Reference Model","Reference View","academic_factor","活力/吸引力","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R243","S13","academic_factor","地位/资源","Reference Model","Reference View","academic_factor","地位/资源","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R244","S13","academic_factor","关系亲密/忠诚","Relationship Process","G｜Relationship Process","relationship_process","关系亲密/忠诚","high","Some items may be observed as repeated personal behavior, but meaning emerges in interaction."
"R245","S13","academic_factor","激情","Reference Model","Reference View","academic_factor","激情","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R246","S14","academic_attribute_family","温暖/可信","Reference Model","Reference View","academic_factor","温暖/可信","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R247","S14","academic_attribute_family","活力/吸引力","Reference Model","Reference View","academic_factor","活力/吸引力","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R248","S14","academic_attribute_family","地位/资源","Reference Model","Reference View","academic_factor","地位/资源","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R249","S14","academic_attribute_family","人格特质","Reference Model","Reference View","academic_factor","人格特质","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R250","S14","academic_attribute_family","气味良好","Reference Model","Reference View","academic_factor","气味良好","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R251","S15","academic_factor","身体吸引/physicality","Reference Model","Reference View","academic_factor","身体吸引/physicality","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R252","S15","academic_factor","关怀/compassion","Reference Model","Reference View","academic_factor","关怀/compassion","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R253","S15","academic_factor","能力/competence","Reference Model","Reference View","academic_factor","能力/competence","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R254","S15","academic_factor","兼容性/compatibility","Reference Model","Reference View","academic_factor","兼容性/compatibility","high","Reference-model construct; should map to user language, not be used directly as a content tag."
"R255","S16","china_marriage_sorting","外貌","Person Feature Space","A｜Profile / Reality Facts","profile_fact","外貌","high",""
"R256","S16","china_marriage_sorting","社会经济地位","Person Feature Space","A｜Profile / Reality Facts","profile_fact","社会经济地位","high",""
